t,v
1515777264,1685
1515787650,1787
1515787860,1813
1515788069,1680
1515788279,1751
1515788487,1733
1515788705,1697
1515788913,1809
1515789124,1735
1515789332,1695
1515789542,1807
1515789759,1714
1515789973,1737
1515790181,1669
1515790391,1786
1515790600,1712
1515801002,1719
1515801210,1763
1515801421,1811
1515801637,1690
1515801847,1701
1515802059,1685
1515802269,1803
1515802477,1713
1515802696,1653
1515802904,1743
1515803114,1715
1515803322,1776
1515803532,1813
1515803749,1690
1515803962,1786
1515804170,1675
1515814561,1815
1515814777,1685
1515814992,1705
1515815200,1802
1515815411,1760
1515815627,1683
1515815837,1790
1515816047,1681
1515816257,1744
1515816465,1733
1515816684,1687
1515816892,1744
1515817103,1716
1515817312,1774
1515817522,1813
1515827910,1737
1515828121,1810
1515828329,1703
1515828539,1659
1515828755,1756
1515828970,1809
1515829178,1702
1515829388,1655
1515829596,1810
1515829813,1737
1515830026,1734
1515830236,1700
1515830444,1807
1515830663,1734
1515830871,1793
1515831083,1789
1515841468,1712
1515841686,1673
1515841894,1732
1515842106,1701
1515842314,1801
1515842524,1761
1515842738,1721
1515842953,1733
1515843162,1703
1515843372,1808
1515843580,1712
1515843798,1678
1515844009,1695
1515844220,1712
1515844428,1734
1515854821,1815
1515855034,1815
1515855244,1728
1515855452,1746
1515855670,1813
1515855879,1803
1515856092,1745
1515856300,1671
1515856511,1782
1515856727,1713
1515856942,1734
1515857150,1677
1515857360,1789
1515857569,1727
1515857787,1683
1515858001,1775
1515868450,1673
1515868666,1744
1515868877,1791
1515869089,1718
1515869299,1679
1515869507,1815
1515869725,1728
1515869940,1680
1515870150,1765
1515870359,1728
1515870569,1681
1515870785,1811
1515870998,1693
1515871206,1810
1515871416,1735
1515871632,1693
1515882057,1692
1515882266,1807
1515882476,1737
1515882692,1685
1515882902,1808
1515883111,1703
1515883321,1657
1515883529,1776
1515883748,1713
1515883960,1717
1515884170,1677
1515884378,1815
1515884589,1786
1515884803,1679
1515885020,1671
1515895444,1744
1515895663,1814
1515895871,1717
1515896083,1808
1515896291,1705
1515896501,1663
1515896718,1736
1515896929,1681
1515897137,1812
1515897348,1734
1515897556,1674
1515897774,1802
1515897987,1814
1515898197,1728
1515898406,1730
1515898624,1812
1515909035,1679
1515909245,1776
1515909454,1728
1515909672,1683
1515909880,1737
1515910092,1712
1515910300,1792
1515910510,1814
1515910726,1668
1515910942,1683
1515911150,1813
1515911361,1731
1515911569,1657
1515911787,1791
1515912001,1737
1515922442,1815
1515922659,1681
1515922869,1781
1515923078,1727
1515923288,1687
1515923496,1810
1515923714,1730
1515923923,1792
1515924134,1817
1515924342,1683
1515924552,1744
1515924768,1735
1515924981,1744
1515925189,1734
1515925399,1700
1515925616,1812
1515936017,1763
1515936225,1732
1515936435,1694
1515936651,1813
1515936862,1735
1515937070,1696
1515937280,1808
1515937489,1711
1515937707,1671
1515937915,1741
1515938126,1714
1515938334,1777
1515938544,1813
1515938760,1691
1515938976,1709
1515949436,1734
1515949654,1709
1515949863,1803
1515950073,1744
1515950281,1671
1515950491,1784
1515950708,1712
1515950918,1666
1515951127,1747
1515951337,1715
1515951545,1779
1515951763,1814
1515951976,1737
1515952187,1712
1515952395,1792
1515952605,1815
1515962995,1798
1515963205,1759
1515963413,1674
1515963632,1793
1515963840,1718
1515964054,1815
1515964262,1681
1515964472,1744
1515964688,1733
1515964899,1692
1515965107,1810
1515965317,1734
1515965525,1663
1515965743,1776
1515965958,1761
1515976348,1684
1515976556,1814
1515976775,1731
1515976987,1722
1515977198,1681
1515977406,1813
1515977624,1731
1515977832,1712
1515978047,1699
1515978255,1807
1515978465,1744
1515978681,1655
1515978891,1723
1515979103,1767
1515979313,1814
1515979522,1693
1515989976,1814
1515990185,1685
1515990395,1735
1515990603,1735
1515990821,1703
1515991033,1698
1515991244,1673
1515991452,1735
1515991670,1715
1515991878,1729
1515992092,1695
1515992300,1808
1515992510,1735
1515992727,1683
1515992942,1671
1515993150,1814
1516003584,1808
1516003800,1698
1516004013,1808
1516004221,1708
1516004431,1655
1516004648,1736
1516004858,1707
1516005066,1808
1516005277,1733
1516005485,1661
1516005703,1798
1516005911,1707
1516006122,1654
1516006330,1746
1516006541,1714
1516016971,1728
1516017181,1685
1516017389,1811
1516017599,1732
1516017816,1705
1516018028,1730
1516018236,1691
1516018446,1808
1516018663,1696
1516018873,1787
1516019083,1723
1516019293,1683
1516019501,1813
1516019719,1731
1516019933,1707
1516020143,1659
1516030562,1814
